client_id,sess_id,avg_bitrate,session_data,q264,q396,q594,q891,q1337,q2085,q3127
95.00,0.00,264.00,71280.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00
96.00,0.00,264.00,26400.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
97.00,0.00,317.83,807300.00,429.00,59.00,10.00,0.00,4.00,5.00,1.00
98.00,0.00,264.00,7920.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
99.00,0.00,331.53,71280.00,21.00,22.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,320.17,150480.00,78.00,0.00,16.00,0.00,0.00,0.00,0.00
101.00,0.00,264.00,14520.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00
102.00,0.00,277.73,173580.00,115.00,8.00,2.00,0.00,0.00,0.00,0.00
103.00,0.00,264.00,71280.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00
104.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
105.00,0.00,313.79,89430.00,40.00,14.00,3.00,0.00,0.00,0.00,0.00
106.00,0.00,276.00,106260.00,70.00,7.00,0.00,0.00,0.00,0.00,0.00
107.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
108.00,0.00,264.00,35640.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00
109.00,0.00,310.04,948725.00,482.00,121.00,2.00,0.00,3.00,3.00,1.00
110.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
111.00,0.00,337.91,160505.00,70.00,22.00,0.00,2.00,0.00,0.00,1.00
112.00,0.00,336.79,503500.00,276.00,5.00,0.00,0.00,17.00,0.00,1.00
113.00,0.00,264.00,17160.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
114.00,0.00,264.00,35640.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00
115.00,0.00,283.56,38280.00,23.00,4.00,0.00,0.00,0.00,0.00,0.00
116.00,0.00,264.00,7920.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
117.00,0.00,743.21,70605.00,14.00,0.00,0.00,0.00,0.00,5.00,0.00
118.00,0.00,264.00,50160.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00
119.00,0.00,264.00,9240.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
120.00,0.00,264.00,26400.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
121.00,0.00,353.78,412155.00,149.00,72.00,7.00,0.00,0.00,5.00,0.00
122.00,0.00,914.36,64005.00,9.00,0.00,0.00,0.00,0.00,5.00,0.00
123.00,0.00,264.00,10560.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
124.00,0.00,264.00,21120.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00
125.00,0.00,316.54,533375.00,319.00,3.00,8.00,0.00,3.00,0.00,4.00
126.00,0.00,264.00,10560.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
127.00,0.00,354.02,221265.00,66.00,52.00,0.00,7.00,0.00,0.00,0.00
128.00,0.00,305.10,7189645.00,3859.00,727.00,66.00,23.00,20.00,11.00,7.00
129.00,0.00,264.00,11880.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00
130.00,0.00,312.00,686400.00,280.00,160.00,0.00,0.00,0.00,0.00,0.00
131.00,0.00,279.53,23760.00,15.00,2.00,0.00,0.00,0.00,0.00,0.00
132.00,0.00,304.55,587775.00,323.00,56.00,0.00,0.00,6.00,1.00,0.00
133.00,0.00,309.52,44880.00,25.00,0.00,4.00,0.00,0.00,0.00,0.00
134.00,0.00,310.18,96155.00,61.00,0.00,0.00,0.00,0.00,0.00,1.00
135.00,0.00,272.09,488400.00,343.00,12.00,4.00,0.00,0.00,0.00,0.00
136.00,0.00,279.00,122760.00,78.00,10.00,0.00,0.00,0.00,0.00,0.00
137.00,0.00,264.00,40920.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00
138.00,0.00,264.00,87120.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00
139.00,0.00,320.34,197010.00,90.00,26.00,3.00,4.00,0.00,0.00,0.00
140.00,0.00,264.00,31680.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00
141.00,0.00,668.67,30090.00,7.00,0.00,0.00,0.00,0.00,2.00,0.00
142.00,0.00,297.00,148500.00,75.00,25.00,0.00,0.00,0.00,0.00,0.00
143.00,0.00,264.00,69960.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00
144.00,0.00,264.00,81840.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00
145.00,0.00,264.00,64680.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00
146.00,0.00,270.23,71610.00,52.00,0.00,1.00,0.00,0.00,0.00,0.00
147.00,0.00,264.00,7920.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
148.00,0.00,264.00,81840.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00
149.00,0.00,367.91,86460.00,10.00,37.00,0.00,0.00,0.00,0.00,0.00
150.00,0.00,264.00,21120.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00
151.00,0.00,276.83,99660.00,65.00,7.00,0.00,0.00,0.00,0.00,0.00
152.00,0.00,264.00,75240.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00
153.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
154.00,0.00,274.88,185545.00,131.00,3.00,0.00,0.00,1.00,0.00,0.00
155.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
156.00,0.00,319.39,228365.00,101.00,39.00,0.00,1.00,2.00,0.00,0.00
157.00,0.00,289.32,335610.00,192.00,37.00,3.00,0.00,0.00,0.00,0.00
158.00,0.00,279.16,206580.00,131.00,17.00,0.00,0.00,0.00,0.00,0.00
159.00,0.00,264.00,59400.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00
160.00,0.00,264.00,58080.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00
161.00,0.00,264.00,88440.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00
162.00,0.00,360.81,658470.00,311.00,32.00,2.00,5.00,0.00,15.00,0.00
163.00,0.00,278.14,38940.00,25.00,3.00,0.00,0.00,0.00,0.00,0.00
164.00,0.00,431.40,144520.00,49.00,14.00,0.00,0.00,0.00,2.00,2.00
165.00,0.00,277.20,131670.00,93.00,0.00,0.00,2.00,0.00,0.00,0.00
166.00,0.00,264.00,35640.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00
167.00,0.00,314.47,727990.00,415.00,35.00,3.00,0.00,2.00,7.00,1.00
168.00,0.00,289.97,88440.00,49.00,12.00,0.00,0.00,0.00,0.00,0.00
169.00,0.00,281.37,80190.00,54.00,0.00,3.00,0.00,0.00,0.00,0.00
170.00,0.00,264.00,26400.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
171.00,0.00,264.00,10560.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
172.00,0.00,264.00,17160.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
173.00,0.00,390.91,148545.00,65.00,8.00,0.00,0.00,0.00,0.00,3.00
174.00,0.00,264.00,51480.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00
175.00,0.00,264.00,23760.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
176.00,0.00,305.11,93060.00,42.00,19.00,0.00,0.00,0.00,0.00,0.00
177.00,0.00,264.00,6600.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
178.00,0.00,264.00,18480.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00
179.00,0.00,264.00,38280.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00
180.00,0.00,377.21,335715.00,145.00,21.00,3.00,0.00,0.00,9.00,0.00
181.00,0.00,349.38,483885.00,213.00,55.00,0.00,0.00,0.00,9.00,0.00
182.00,0.00,264.00,48840.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00
183.00,0.00,303.19,24255.00,15.00,0.00,0.00,1.00,0.00,0.00,0.00
184.00,0.00,331.39,450690.00,246.00,11.00,7.00,0.00,0.00,8.00,0.00
185.00,0.00,264.00,18480.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00
186.00,0.00,306.02,246350.00,124.00,35.00,0.00,0.00,2.00,0.00,0.00
187.00,0.00,264.00,42240.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00
188.00,0.00,264.00,11880.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00
189.00,0.00,327.62,73715.00,44.00,0.00,0.00,0.00,0.00,0.00,1.00
190.00,0.00,281.53,270270.00,168.00,23.00,1.00,0.00,0.00,0.00,0.00
191.00,0.00,264.00,56760.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00
192.00,0.00,264.00,26400.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
193.00,0.00,264.00,23760.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
194.00,0.00,314.94,237780.00,143.00,0.00,0.00,2.00,6.00,0.00,0.00
195.00,0.00,264.00,6600.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
196.00,0.00,264.00,23760.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
197.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
198.00,0.00,264.00,35640.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00
199.00,0.00,318.34,1765220.00,889.00,191.00,13.00,0.00,2.00,11.00,3.00
200.00,0.00,264.00,44880.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00
201.00,0.00,264.00,26400.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
202.00,0.00,264.00,104280.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00
203.00,0.00,303.85,267385.00,130.00,45.00,0.00,0.00,1.00,0.00,0.00
204.00,0.00,264.00,35640.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00
205.00,0.00,328.71,251460.00,84.00,65.00,4.00,0.00,0.00,0.00,0.00
206.00,0.00,298.74,56760.00,28.00,10.00,0.00,0.00,0.00,0.00,0.00
207.00,0.00,264.00,14520.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00
208.00,0.00,332.17,69755.00,41.00,0.00,0.00,0.00,0.00,0.00,1.00
209.00,0.00,343.42,285040.00,142.00,5.00,13.00,4.00,0.00,0.00,2.00
210.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
211.00,0.00,264.00,23760.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
212.00,0.00,326.12,55440.00,18.00,16.00,0.00,0.00,0.00,0.00,0.00
213.00,0.00,264.00,10560.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
214.00,0.00,264.00,126720.00,96.00,0.00,0.00,0.00,0.00,0.00,0.00
215.00,0.00,264.00,17160.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
216.00,0.00,264.00,25080.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00
217.00,0.00,264.00,9240.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
218.00,0.00,264.00,19800.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00
219.00,0.00,304.26,390970.00,209.00,39.00,3.00,5.00,1.00,0.00,0.00
220.00,0.00,264.00,34320.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00
221.00,0.00,264.00,36960.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00
222.00,0.00,264.00,25080.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00
223.00,0.00,264.00,6600.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
224.00,0.00,264.00,34320.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00
225.00,0.00,330.00,26400.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00
226.00,0.00,264.00,22440.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00
227.00,0.00,384.40,999435.00,264.00,221.00,20.00,0.00,9.00,0.00,6.00
228.00,0.00,264.00,6600.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
229.00,0.00,297.30,497970.00,252.00,82.00,1.00,0.00,0.00,0.00,0.00
230.00,0.00,264.00,19800.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00
231.00,0.00,293.58,353760.00,187.00,54.00,0.00,0.00,0.00,0.00,0.00
232.00,0.00,264.00,33000.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00
233.00,0.00,322.18,61215.00,34.00,0.00,1.00,3.00,0.00,0.00,0.00
234.00,0.00,264.00,26400.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
235.00,0.00,264.00,27720.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00
236.00,0.00,264.00,21120.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00
237.00,0.00,264.00,116160.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00
238.00,0.00,305.63,102385.00,53.00,13.00,0.00,0.00,1.00,0.00,0.00
239.00,0.00,264.00,25080.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00
240.00,0.00,264.00,6600.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
241.00,0.00,264.00,9240.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
242.00,0.00,446.10,89220.00,36.00,0.00,0.00,0.00,0.00,4.00,0.00
243.00,0.00,264.00,17160.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
244.00,0.00,264.00,93720.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00
245.00,0.00,964.38,62685.00,8.00,0.00,0.00,0.00,0.00,5.00,0.00
246.00,0.00,326.70,49005.00,27.00,0.00,0.00,3.00,0.00,0.00,0.00
247.00,0.00,264.00,15840.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00
248.00,0.00,289.26,117150.00,73.00,3.00,5.00,0.00,0.00,0.00,0.00
249.00,0.00,383.22,51735.00,24.00,0.00,0.00,0.00,3.00,0.00,0.00
250.00,0.00,264.00,26400.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
251.00,0.00,320.59,540195.00,285.00,28.00,19.00,0.00,0.00,5.00,0.00
252.00,0.00,264.00,19800.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00
253.00,0.00,305.32,175560.00,79.00,36.00,0.00,0.00,0.00,0.00,0.00
254.00,0.00,264.00,124080.00,94.00,0.00,0.00,0.00,0.00,0.00,0.00
255.00,0.00,338.89,547310.00,160.00,157.00,4.00,0.00,2.00,0.00,0.00
256.00,0.00,264.00,14520.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00
257.00,0.00,264.00,23760.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
258.00,0.00,264.00,14520.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00
259.00,0.00,264.00,18480.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00
260.00,0.00,331.65,3135770.00,1429.00,378.00,28.00,16.00,23.00,14.00,3.00
261.00,0.00,264.00,17160.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
262.00,0.00,424.78,38230.00,16.00,0.00,0.00,0.00,1.00,1.00,0.00
263.00,0.00,264.00,17160.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
264.00,0.00,264.00,11880.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00
265.00,0.00,264.00,15840.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00
266.00,0.00,264.00,30360.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00
267.00,0.00,264.00,14520.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00
268.00,0.00,372.95,117480.00,26.00,27.00,10.00,0.00,0.00,0.00,0.00
269.00,0.00,264.00,14520.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00
270.00,0.00,410.94,215745.00,81.00,17.00,2.00,0.00,1.00,0.00,4.00
271.00,0.00,280.50,145860.00,91.00,13.00,0.00,0.00,0.00,0.00,0.00
272.00,0.00,291.68,90420.00,49.00,13.00,0.00,0.00,0.00,0.00,0.00
273.00,0.00,264.00,14520.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00
274.00,0.00,264.00,13200.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
275.00,0.00,264.00,10560.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
276.00,0.00,1409.20,105690.00,9.00,0.00,0.00,0.00,0.00,0.00,6.00
277.00,0.00,264.00,31680.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00
278.00,0.00,275.56,298980.00,198.00,19.00,0.00,0.00,0.00,0.00,0.00
279.00,0.00,300.98,212190.00,103.00,37.00,1.00,0.00,0.00,0.00,0.00
280.00,0.00,264.00,17160.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
281.00,0.00,282.39,283800.00,173.00,28.00,0.00,0.00,0.00,0.00,0.00
282.00,0.00,264.00,51480.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00
283.00,0.00,292.16,109560.00,59.00,16.00,0.00,0.00,0.00,0.00,0.00
284.00,0.00,340.82,153370.00,79.00,9.00,0.00,0.00,0.00,0.00,2.00
285.00,0.00,297.85,116160.00,58.00,20.00,0.00,0.00,0.00,0.00,0.00
286.00,0.00,264.00,9240.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
287.00,0.00,264.00,39600.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00
288.00,0.00,298.02,533450.00,280.00,76.00,0.00,0.00,2.00,0.00,0.00
289.00,0.00,322.53,4363770.00,1961.00,654.00,57.00,13.00,2.00,11.00,8.00
290.00,0.00,264.00,11880.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00
291.00,0.00,408.38,32670.00,9.00,0.00,7.00,0.00,0.00,0.00,0.00
292.00,0.00,325.66,223080.00,73.00,64.00,0.00,0.00,0.00,0.00,0.00
293.00,0.00,264.00,42240.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00
294.00,0.00,423.11,507735.00,194.00,23.00,0.00,0.00,9.00,14.00,0.00
295.00,0.00,320.29,54450.00,24.00,7.00,3.00,0.00,0.00,0.00,0.00
296.00,0.00,346.81,232365.00,112.00,19.00,0.00,0.00,0.00,0.00,3.00
297.00,0.00,264.00,34320.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00
298.00,0.00,353.42,21205.00,11.00,0.00,0.00,0.00,1.00,0.00,0.00
299.00,0.00,283.37,514310.00,324.00,37.00,0.00,0.00,2.00,0.00,0.00
300.00,0.00,264.00,23760.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
301.00,0.00,365.03,169740.00,73.00,16.00,0.00,0.00,0.00,4.00,0.00
302.00,0.00,264.00,15840.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00
303.00,0.00,264.00,22440.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00
304.00,0.00,308.16,10002805.00,5475.00,843.00,75.00,9.00,35.00,48.00,7.00
305.00,0.00,264.00,7920.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
306.00,0.00,395.10,124455.00,56.00,0.00,0.00,0.00,6.00,1.00,0.00
307.00,0.00,264.00,21120.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00
